User ID,User Name,Driver Name,Car Condition,Weather,Traffic Condition,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,hour,day,month,weekday,year,jfk_dist,ewr_dist,lga_dist,sol_dist,nyc_dist,distance,bearing
nVe9j57F,Megan Perez,Jose Strickland,Good,sunny,Congested Traffic,2009-07-29 18:05:51.0000002,27.7,2009-07-29 18:05:51,-1.287763699648297,0.7094505798759355,-1.2892204561617666,0.7115244149997403,1,18,29,7,2,2009,17.06397831051504,59.603039224253024,17.36945414654919,39.78469159403542,33.324767542881375,14.968782419165862,0.4888215849195065
Mw46dBzu,April Mills,Matthew Walters,Bad,rainy,Flow Traffic,2014-04-21 08:43:00.00000051,7.5,2014-04-21 08:43:00,-1.290810433657041,0.7117313935957342,-1.290739869995383,0.7115064555617372,1,8,21,4,0,2014,42.03774296072229,40.05931992584424,14.148673154307229,23.859635606659246,15.592287124762072,1.4729659192374804,-2.908324693107545
LabUz9GM,Grant Collier,Jason Kent,Good,cloudy,Dense Traffic,2011-07-25 12:20:37.0000002,5.3,2011-07-25 12:20:37,-1.290917073274338,0.7114869602339924,-1.2906989071178383,0.7117801755483274,1,12,25,7,0,2011,42.43775078757241,39.851693359531005,14.491779875459496,23.783005527582898,15.54318355748052,2.1442146236700346,-0.5130504660290978
ehcYW3w2,Christopher Powell,Nicole Coffey,Excellent,stormy,Dense Traffic,2013-07-03 14:51:48.0000001,18.0,2013-07-03 14:51:48,0.0,0.0,0.0,0.0,1,14,3,7,2,2013,17293.486311810902,17360.26455943967,17314.695443972152,17339.554005289192,17334.256604801092,0.0,0.0
5Yrv0t3g,Rickey Carr,Christine Santos,Very Good,stormy,Dense Traffic,2011-03-20 17:10:38.0000001,34.5,2011-03-20 17:10:38,-1.2912986546087013,0.7113774233701373,-1.289323221148124,0.7116451045175157,2,17,20,3,6,2011,38.84294620286967,43.60439284609095,10.093617035467094,26.47567344867552,18.35591363092801,9.683301505657967,-1.3931108265500358
xdlQwdGC,Casey Taylor,Ryan Tucker,Very Good,cloudy,Flow Traffic,2014-03-16 04:06:30.0000004,4.5,2014-03-16 04:06:30,-1.2913518347910096,0.7114591396857157,-1.2913687295781688,0.711364961719278,1,4,16,3,6,2014,44.58065684246738,33.80772674735769,20.02710213539399,18.447450668165523,10.777889142663312,0.6055214864079248,3.006535332968212
PepfbXgJ,Adrian Riley,Thomas Pennington,Very Good,rainy,Flow Traffic,2013-01-08 16:05:00.00000026,6.0,2013-01-08 16:05:00,-1.291447478834019,0.7111531136546709,-1.2911834105181923,0.71159651455114,1,16,8,1,1,2013,44.05038909328219,34.04182649299689,19.84644842048329,18.26871819797727,10.45389135438863,3.099040370274738,-0.4236902952372551
gVTkttDu,Amanda Mendez,Brandy Johnson,Bad,stormy,Dense Traffic,2012-03-11 21:29:26.0000001,20.9,2012-03-11 21:29:26,-1.291201631755583,0.7109417193756694,-1.2905774671084849,0.7122012536836636,2,21,11,3,6,2012,43.14630841770273,39.2257208585072,17.138056008213567,22.83116425784701,14.57661291275613,8.571006584310188,-0.3588295547116675
R8ZObVQK,Kathryn Garcia,David Sullivan,Good,stormy,Dense Traffic,2009-12-02 11:54:49.00000010,18.5,2009-12-02 11:54:49,-1.2913391637006402,0.7112240787420571,-1.290625376396452,0.7116766600703917,1,11,2,12,2,2009,42.27765057965118,37.32060746818991,16.49555905665126,20.92736299152306,12.77114925608874,4.491959970335921,-0.8735878908566727
yWbl7fy8,Haley Garcia,Richard Ross,Bad,windy,Dense Traffic,2015-05-09 21:30:04.0000005,15.5,2015-05-09 21:30:04,-1.2914218068559329,0.7109421048522582,-1.2908528224890372,0.7115695456050809,1,21,9,5,5,2015,41.94278197880535,35.04327956975409,18.66402218520661,18.04085281301596,9.785602250450536,4.849786198953691,-0.6017384044589837
BUaAkjkL,Jeffrey Owens,Mark Jackson,Good,stormy,Congested Traffic,2010-12-24 17:52:00.000000134,5.7,2010-12-24 17:52:00,-1.291714479302989,0.7107120864059845,-1.2916447359460794,0.7110442574692241,3,17,24,12,4,2010,43.59085497344496,28.449712556440048,25.11423522071468,11.080035871997795,3.646206056098449,2.1428810719638944,-0.1577617329354841
esbK1rTq,David Pratt,Henry Flores,Very Good,windy,Congested Traffic,2015-03-21 16:13:07.0000008,8.0,2015-03-21 16:13:07,-1.2911862502575149,0.711413684102284,-1.2912391140051531,0.7115590926978024,1,16,21,3,5,2015,44.04678584816821,35.5152727717409,18.482487643788243,20.00801338947599,12.133027737280845,0.960875820416242,0.2686764329285203
QSFvm9gD,Larry Mccann,Brenda Chang,Excellent,stormy,Congested Traffic,2011-01-06 21:12:46.0000001,8.1,2011-01-06 21:12:46,-1.2911774240388578,0.7114337975049767,-1.291514220224615,0.7113116419106297,1,21,6,1,3,2011,44.19382715591584,33.70747820715699,19.98423753462668,18.11372564802752,10.421162963981924,1.8020361091710109,2.017256339565659
XU7iqX0e,Kenneth Taylor,Sara Hobbs,Good,stormy,Dense Traffic,2013-02-12 14:18:40.0000002,29.8,2013-02-12 14:18:40,-1.2893528742921154,0.711641962924862,-1.291230063169098,0.711076546060386,2,14,12,2,1,2013,37.51443952456314,43.03980036643565,10.414609623918995,25.01566154762555,16.641256309174732,9.749011430683687,1.948655435825539
ItK2df6o,Andrea Wolf,Timothy Rodriguez,Excellent,sunny,Congested Traffic,2011-10-17 14:43:40.0000004,45.0,2011-10-17 14:43:40,-1.2910678522684178,0.711440220316624,-1.2876403746833511,0.709391919359776,1,14,17,10,0,2011,21.93694557694908,51.74829500365438,25.368607334601585,33.290496995584746,26.938505080611243,21.07914416620057,-2.237250998450337
W6mvVCZ5,Cody Fox,Lorraine Webb,Bad,sunny,Flow Traffic,2015-01-27 16:52:47.0000005,7.5,2015-01-27 16:52:47,-1.2912895809078102,0.7113687432588889,-1.2912424429565157,0.7115538329546495,5,16,27,1,1,2015,44.25616724822763,34.91189977656695,19.04878252868417,19.45613241680428,11.646057043667843,1.2009441016215083,-0.1905382123947642
716IZmSh,David Black,Lucas Morgan,Excellent,windy,Flow Traffic,2012-03-06 14:11:00.000000197,28.5,2012-03-06 14:11:00,-1.2911848591414714,0.7117761961976329,-1.289287197552363,0.7116399034363448,1,14,6,3,1,2012,39.94959522405812,45.4613474719752,9.408140277242302,29.0763679397244,21.075718751629164,9.196207970838776,-1.6647390835899922
NuvEoC5q,Robert Miller,Rebecca Potter,Bad,rainy,Congested Traffic,2014-01-11 11:51:00.00000088,35.33,2014-01-11 11:51:00,-1.2893543054621022,0.7116413695129165,-1.2913101214218872,0.7113832004099614,1,11,11,1,5,2014,38.95906250939849,43.42138381868972,10.199622666184172,26.338739629172803,18.23197013157117,9.579537266714402,1.7427115104665252
